beryllium, animal brooch, seductress, tall, narrow hips, triangular face, fair skin, dark brown hair, coral eyes, long nose, thick lips, round chin, long hair, thick hair, formal braided updo, round breasts, hoop earrings, silver, velvet lipstick, purple velvet bra and panty set with lace trim
rhodium, necklace, siren, tall, toned, triangular face, olive skin, golden blonde hair, amber eyes, long nose, full lips, sharp chin, long hair, fine hair, fishtail crown braid, saggy breasts, threader earrings, coral, matte lipstick, green sequin slip dress with thigh-high slits
rhodium, pearl necklace, mistress, short, in shape, square face, olive skin, auburn hair, grey eyes, [[curved nose]], thin lips, receding chin, long hair, fine hair, long curly hair, full breasts, dangle earrings, cherry, matte lipstick, blue sheer babydoll with satin trim
rhodium, pearl necklace, seductress, short, skinny, round face, dark skin, strawberry blonde hair, peach eyes, wide nose, thick lips, round chin, shoulder-length hair, coarse hair, updo, firm breasts, clip-on earrings, terracotta, sheer lipstick, green satin robe with lace trim
rhodium, slave bracelet, enchantress, short, athletic, triangular face, tan skin, dark brown hair, jade eyes, [[curved nose]], pouty lips, receding chin, long hair, fine hair, double braided crown, saggy breasts, stud earrings, light pink, cream lipstick, lavender lace bra and panty set
rhodium, statement necklace, enchantress, short, firm, oval face, tan skin, dark brown hair, green eyes, [[curved nose]], pouty lips, prominent chin, shoulder-length hair, curly hair, braided half up, asymmetrical breasts, threader earrings, mauve, satin lipstick, purple mesh babydoll with matching g-string
rhodium, tassel necklace, femme fatale, tall, fit, diamond-shaped face, dark skin, golden blonde hair, jade eyes, wide nose, pouty lips, receding chin, long hair, curly hair, low messy bun, full breasts, huggie earrings, black, gloss lipstick, black sheer teddy with floral applique
rhodium, tennis bracelet, temptress, short, athletic, triangular face, fair skin, strawberry blonde hair, light blue eyes, narrow nose, thick lips, prominent chin, long hair, wavy hair, layered bob, perky breasts, clip-on earrings, brown, stain lipstick, ivory lace teddy
rhodium, tennis necklace, femme fatale, average height, slim, square face, olive skin, chestnut hair, amber eyes, straight nose, pouty lips, receding chin, shoulder-length hair, thick hair, fishtail crown braid, round breasts, cuff earrings, cherry, gloss lipstick, maroon satin and lace corset
rhodium, tennis necklace, madame, tall, toned, heart-shaped face, olive skin, gray hair, ice blue eyes, straight nose, thick lips, round chin, shoulder-length hair, thick hair, twisted bun, asymmetrical breasts, clip-on earrings, terracotta, satin lipstick, mint green mesh teddy
rhodium, toe ring, lady, average height, wide hips, square face, dark skin, light brown hair, sapphire eyes, straight nose, pouty lips, sharp chin, long hair, curly hair, dutch braid, augmented breasts, clip-on earrings, magenta, stain lipstick, white sheer teddy with lace trim
rhodium, toggle bracelet, phenom, average height, narrow hips, diamond-shaped face, dark skin, light brown hair, hazel eyes with green flecks, short nose, thin lips, round chin, shoulder-length hair, wavy hair, fancy updo, asymmetrical breasts, stud earrings, green, sheer lipstick, ivory lace teddy
rhodium, toggle bracelet, phenom, short, skinny, triangular face, fair skin, red hair, amber eyes, straight nose, thick lips, round chin, shoulder-length hair, wavy hair, smooth waves, augmented breasts, huggie earrings, coral, matte lipstick, cream sequin bra and pant set
rhodium, torc necklace, duchess, average height, athletic, heart-shaped face, fair skin, white hair, amber eyes, wide nose, pouty lips, sharp chin, shoulder-length hair, wavy hair, sleek bun, firm breasts, drop earrings, plum, stain lipstick, white sheer teddy with lace trim
rhodium, vintage brooch, dame, short, narrow hips, triangular face, olive skin, auburn hair, teal eyes, short nose, pouty lips, round chin, long hair, wavy hair, blunt bangs, round breasts, faux gauge earrings, grape, sheer lipstick, ivory lace teddy
rhodium, vintage brooch, phenom, tall, lean, diamond-shaped face, olive skin, black hair, green eyes, [[curved nose]], full lips, prominent chin, long hair, wavy hair, straight bob, augmented breasts, stud earrings, rose, satin lipstick, navy blue satin garter belt with suspenders
rhodium, watch bracelet, baroness, tall, skinny, oval face, fair skin, honey blonde hair, pink eyes, narrow nose, thin lips, sharp chin, shoulder-length hair, curly hair, afro, perky breasts, dangle earrings, red, sheer lipstick, white lace bralette and boyshorts set
rhodium, watch bracelet, heiress, short, in shape, oval face, tan skin, red hair, grey-blue eyes, short nose, thin lips, receding chin, shoulder-length hair, curly hair, shaggy cut, perky breasts, hoop earrings, peach, satin lipstick, brown strappy bodysuit
ruthenium, animal brooch, miss, short, narrow hips, oval face, dark skin, silver hair, silver eyes, wide nose, thin lips, prominent chin, long hair, straight hair, fancy updo, saggy breasts, stud earrings, gloss, metallic lipstick, red mesh chemise with strappy back detail
ruthenium, animal brooch, queen, tall, athletic, diamond-shaped face, olive skin, black hair, green eyes, wide nose, pouty lips, receding chin, shoulder-length hair, fine hair, beach waves, firm breasts, faux gauge earrings, berry, velvet lipstick, green sequin slip dress with thigh-high slits
ruthenium, ankle bracelet, madam, average height, narrow hips, diamond-shaped face, fair skin, chestnut hair, ice blue eyes, long nose, pouty lips, prominent chin, shoulder-length hair, curly hair, layered bob, perky breasts, clip-on earrings, gloss, velvet lipstick, maroon satin and lace corset
ruthenium, ankle strap, diva, average height, fit, square face, olive skin, auburn hair, yellow eyes, short nose, pouty lips, round chin, shoulder-length hair, fine hair, twisted bun, natural breasts, dangle earrings, gloss, gloss lipstick, pink lace chemise with ruffle details
ruthenium, ankle strap, female viking, average height, firm, triangular face, tan skin, honey blonde hair, grey eyes, long nose, thick lips, round chin, long hair, straight hair, viking braid, natural breasts, faux gauge earrings, coral, sheer lipstick, green satin and lace garter belt with matching thong
ruthenium, ankle strap, seductress, average height, firm, oval face, dark skin, red hair, gray eyes, long nose, full lips, sharp chin, long hair, straight hair, lace braid, perky breasts, hoop earrings, magenta, cream lipstick, olive green mesh garter belt with stockings
ruthenium, anklet, trailblazer, tall, slim, square face, fair skin, blonde hair, blue eyes, straight nose, pouty lips, prominent chin, long hair, wavy hair, loose curls, saggy breasts, cuff earrings, shimmer, sheer lipstick, purple velvet slip with lace trim
ruthenium, bangle bracelet, mistress, tall, wide hips, heart-shaped face, tan skin, silver hair, coral eyes, straight nose, thin lips, receding chin, shoulder-length hair, straight hair, bob with bangs, soft breasts, threader earrings, plum, metallic lipstick, ivory lace teddy
ruthenium, beaded bracelet, heiress, average height, narrow hips, heart-shaped face, dark skin, black hair, ruby eyes, straight nose, full lips, prominent chin, long hair, fine hair, waterfall braid, augmented breasts, stud earrings, soft pink, gloss lipstick, black leather bralette and panty set
ruthenium, beaded bracelet, siren, average height, wide hips, triangular face, tan skin, platinum blonde hair, gray eyes, narrow nose, full lips, sharp chin, long hair, straight hair, twisted bun, asymmetrical breasts, stud earrings, shimmer, sheer lipstick, yellow mesh bralette and high-waisted panty set
ruthenium, beaded bracelet, songstress, short, athletic, round face, dark skin, golden blonde hair, dark brown eyes, long nose, pouty lips, prominent chin, long hair, coarse hair, low messy bun, round breasts, hoop earrings, black, gloss lipstick, teal velvet chemise with ruffles
ruthenium, beaded necklace, maven, tall, skinny, oval face, fair skin, golden blonde hair, grey eyes, narrow nose, pouty lips, sharp chin, long hair, wavy hair, straight bob with layers, saggy breasts, faux gauge earrings, violet, satin lipstick, green satin robe with lace trim
ruthenium, beaded necklace, trailblazer, short, skinny, round face, olive skin, chestnut hair, aquamarine eyes, narrow nose, thick lips, prominent chin, shoulder-length hair, straight hair, low ponytail, saggy breasts, hoop earrings, burgundy, matte lipstick, purple mesh babydoll with matching g-string
ruthenium, bib necklace, duchess, short, fit, round face, olive skin, honey blonde hair, gold eyes, long nose, thin lips, round chin, shoulder-length hair, fine hair, long straight hair, round breasts, stud earrings, hot pink, gloss lipstick, mint green mesh teddy
ruthenium, bib necklace, duchess, tall, fit, round face, dark skin, dark brown hair, teal eyes, [[curved nose]], pouty lips, prominent chin, long hair, fine hair, fishtail crown braid, full breasts, huggie earrings, hot pink, sheer lipstick, white sheer teddy with lace trim
ruthenium, bib necklace, seductress, tall, wide hips, diamond-shaped face, tan skin, white hair, dark brown eyes, narrow nose, pouty lips, sharp chin, long hair, curly hair, long curled updo, firm breasts, threader earrings, lavender, satin lipstick, mint green mesh teddy
ruthenium, bib necklace, starlet, tall, wide hips, heart-shaped face, dark skin, brunette hair, ice blue eyes, short nose, thin lips, receding chin, long hair, curly hair, fancy updo, firm breasts, dangle earrings, terracotta, cream lipstick, pink floral corset
ruthenium, bracelet, luminary, average height, skinny, diamond-shaped face, fair skin, honey blonde hair, blue eyes, narrow nose, pouty lips, sharp chin, shoulder-length hair, fine hair, layered bob, small breasts, huggie earrings, plum, cream lipstick, blue sheer babydoll with satin trim
ruthenium, bracelet, woman, short, toned, square face, dark skin, honey blonde hair, gold eyes, straight nose, pouty lips, prominent chin, shoulder-length hair, thick hair, afro, soft breasts, drop earrings, black, matte lipstick, pink lace garter slip with matching thong
ruthenium, brooch pin, diva, short, toned, oval face, olive skin, chestnut hair, brown eyes with green flecks, narrow nose, thin lips, sharp chin, shoulder-length hair, thick hair, high bun, natural breasts, faux gauge earrings, terracotta, matte lipstick, white sheer teddy with lace trim
ruthenium, brooch pin, luminary, short, skinny, round face, olive skin, silver hair, black eyes, straight nose, pouty lips, prominent chin, shoulder-length hair, straight hair, side bangs, perky breasts, stud earrings, terracotta, stain lipstick, silver sequin bralette
ruthenium, brooch pin, madame, short, athletic, oval face, olive skin, auburn hair, ice blue eyes, [[curved nose]], thick lips, sharp chin, long hair, coarse hair, viking braid, small breasts, cuff earrings, red, satin lipstick, silver sequin bralette
ruthenium, brooch, charmer, tall, fit, diamond-shaped face, fair skin, brunette hair, blue eyes, narrow nose, pouty lips, prominent chin, shoulder-length hair, wavy hair, angled bob, firm breasts, stud earrings, rose, stain lipstick, ivory lace teddy
ruthenium, brooch, miss, tall, lean, square face, dark skin, dark brown hair, amethyst eyes, wide nose, pouty lips, round chin, long hair, coarse hair, fauxhawk, natural breasts, cuff earrings, brown, sheer lipstick, white satin and lace bra and panty set
ruthenium, chain bracelet, chanteuse, tall, athletic, round face, olive skin, auburn hair, green eyes, wide nose, full lips, sharp chin, shoulder-length hair, coarse hair, fishtail crown braid, asymmetrical breasts, clip-on earrings, cream, matte lipstick, red lace bra and panty set with garter belt
ruthenium, chain bracelet, duchess, short, toned, square face, dark skin, gray hair, jade eyes, short nose, thick lips, prominent chin, long hair, thick hair, voluminous waves, small breasts, stud earrings, brown, matte lipstick, pink lace garter slip with matching thong
ruthenium, chain bracelet, superwoman, tall, narrow hips, heart-shaped face, tan skin, brunette hair, brown eyes with green flecks, narrow nose, pouty lips, sharp chin, shoulder-length hair, coarse hair, long wavy hair, saggy breasts, faux gauge earrings, golden, cream lipstick, pink lace chemise with ruffle details
ruthenium, chain necklace, female viking, tall, narrow hips, heart-shaped face, olive skin, platinum blonde hair, amber eyes, [[curved nose]], thin lips, receding chin, shoulder-length hair, wavy hair, fishbone braid, asymmetrical breasts, huggie earrings, light pink, satin lipstick, blue sheer babydoll with satin trim
ruthenium, chain necklace, femme fatale, average height, firm, triangular face, olive skin, gray hair, hazel eyes, narrow nose, thick lips, sharp chin, long hair, fine hair, high bun, perky breasts, hoop earrings, coral, cream lipstick, green satin robe with lace trim
ruthenium, chain necklace, lady, average height, lean, oval face, fair skin, light brown hair, coral eyes, straight nose, pouty lips, round chin, long hair, straight hair, angled bob, natural breasts, clip-on earrings, green, gloss lipstick, black mesh bodysuit with embroidered flowers
ruthenium, charm bracelet, seductress, short, toned, heart-shaped face, olive skin, white hair, teal eyes, narrow nose, full lips, prominent chin, long hair, curly hair, loose waves, saggy breasts, drop earrings, fuchsia, velvet lipstick, green silk bralette and panty set
ruthenium, charm bracelet, trailblazer, average height, firm, triangular face, tan skin, strawberry blonde hair, grey-blue eyes, short nose, thin lips, sharp chin, shoulder-length hair, coarse hair, short afro, perky breasts, huggie earrings, brown, matte lipstick, blue strappy bodysuit with cutouts
ruthenium, choker, baroness, average height, narrow hips, heart-shaped face, tan skin, gray hair, hazel eyes, short nose, thin lips, prominent chin, shoulder-length hair, fine hair, twisted bun, soft breasts, drop earrings, rose, cream lipstick, black sheer teddy with floral applique
ruthenium, cocktail brooch, belle, tall, slim, oval face, tan skin, light brown hair, purple eyes, straight nose, thin lips, sharp chin, long hair, curly hair, straight bob with layers, saggy breasts, threader earrings, gloss, cream lipstick, green satin and lace garter belt with matching thong
ruthenium, cocktail brooch, countess, short, slim, diamond-shaped face, dark skin, golden blonde hair, teal eyes, straight nose, full lips, round chin, long hair, wavy hair, high messy bun, round breasts, drop earrings, grape, matte lipstick, black mesh bodysuit with embroidered flowers
ruthenium, cocktail ring, diva, short, toned, heart-shaped face, dark skin, red hair, jade eyes, short nose, pouty lips, round chin, long hair, curly hair, braided half up, perky breasts, threader earrings, teal, metallic lipstick, black cutout bodysuit with zipper
ruthenium, cocktail ring, lady, short, athletic, diamond-shaped face, fair skin, light brown hair, amethyst eyes, straight nose, pouty lips, prominent chin, long hair, curly hair, formal updo, perky breasts, huggie earrings, orange, gloss lipstick, black lace bustier
ruthenium, cocktail ring, trailblazer, tall, toned, round face, tan skin, dark brown hair, gray eyes, short nose, thin lips, sharp chin, long hair, fine hair, sock bun, firm breasts, hoop earrings, fuchsia, satin lipstick, green sequin slip dress with thigh-high slits
ruthenium, collar necklace, maven, short, athletic, diamond-shaped face, fair skin, golden blonde hair, red eyes, short nose, thick lips, receding chin, long hair, wavy hair, short afro, full breasts, dangle earrings, red, cream lipstick, turquoise sheer chemise with cutouts
ruthenium, collar necklace, phenom, tall, firm, heart-shaped face, dark skin, light brown hair, gold eyes, long nose, thick lips, receding chin, long hair, thick hair, fishbone braid, round breasts, hoop earrings, grape, cream lipstick, grey faux leather corset
ruthenium, cuff bracelet, luminary, short, lean, diamond-shaped face, dark skin, platinum blonde hair, hazel eyes, straight nose, full lips, prominent chin, shoulder-length hair, wavy hair, chignon, full breasts, threader earrings, mauve, gloss lipstick, brown strappy bodysuit
ruthenium, flower brooch, goddess, average height, athletic, heart-shaped face, olive skin, black hair, gold eyes, long nose, full lips, prominent chin, shoulder-length hair, curly hair, straight bob with layers, perky breasts, cuff earrings, fuchsia, metallic lipstick, purple mesh babydoll with matching g-string
ruthenium, friendship bracelet, gal, average height, firm, heart-shaped face, dark skin, strawberry blonde hair, silver eyes, short nose, thin lips, receding chin, long hair, fine hair, sleek bun, augmented breasts, threader earrings, pink, sheer lipstick, purple mesh babydoll with matching g-string
ruthenium, friendship bracelet, phenom, tall, thin, square face, dark skin, golden blonde hair, blue eyes with green flecks, straight nose, thick lips, round chin, shoulder-length hair, straight hair, messy top knot, asymmetrical breasts, threader earrings, coral, matte lipstick, silver silk bra and panty set with garter belt
ruthenium, multi-strand necklace, countess, tall, toned, heart-shaped face, dark skin, platinum blonde hair, ice blue eyes, long nose, full lips, sharp chin, shoulder-length hair, curly hair, messy bun, augmented breasts, drop earrings, gloss, stain lipstick, grey faux leather corset
ruthenium, multi-strand necklace, madame, tall, slim, heart-shaped face, tan skin, black hair, hazel eyes with green flecks, wide nose, full lips, prominent chin, shoulder-length hair, curly hair, braided headband, natural breasts, huggie earrings, lavender, metallic lipstick, white lace bralette and boyshorts set
ruthenium, multi-strand necklace, seductress, short, firm, round face, olive skin, platinum blonde hair, dark brown eyes, narrow nose, thick lips, prominent chin, long hair, thick hair, sleek bun, round breasts, hoop earrings, shimmer, gloss lipstick, green satin and lace garter belt with matching thong
ruthenium, necklace, heiress, tall, narrow hips, round face, dark skin, auburn hair, peach eyes, narrow nose, thin lips, sharp chin, long hair, thick hair, top knot, soft breasts, huggie earrings, terracotta, cream lipstick, navy blue satin garter belt with suspenders
ruthenium, necklace, miss, average height, fit, heart-shaped face, dark skin, silver hair, red eyes, long nose, pouty lips, sharp chin, long hair, curly hair, french roll, natural breasts, clip-on earrings, violet, satin lipstick, purple velvet robe with fur trim
ruthenium, necklace, woman, short, fit, triangular face, dark skin, platinum blonde hair, hazel eyes, wide nose, full lips, receding chin, shoulder-length hair, straight hair, tapered afro, firm breasts, threader earrings, cherry, sheer lipstick, charcoal sheer bra and panty set
ruthenium, pendant, chanteuse, average height, fit, triangular face, tan skin, golden blonde hair, amber eyes, straight nose, pouty lips, round chin, long hair, coarse hair, loose curls, full breasts, hoop earrings, light pink, sheer lipstick, red mesh chemise with strappy back detail
ruthenium, pendant, empress, average height, in shape, diamond-shaped face, olive skin, auburn hair, amber eyes, long nose, full lips, prominent chin, long hair, fine hair, low updo, augmented breasts, drop earrings, teal, cream lipstick, black lace bustier
ruthenium, pendant, escort, average height, athletic, square face, fair skin, dark brown hair, hazel eyes with green flecks, wide nose, full lips, sharp chin, long hair, thick hair, shoulder-length curls, full breasts, threader earrings, fuchsia, metallic lipstick, white lace bralette and boyshorts set
ruthenium, pendant, heiress, average height, fit, round face, olive skin, light brown hair, dark brown eyes, wide nose, thick lips, sharp chin, long hair, curly hair, fauxhawk, perky breasts, huggie earrings, light pink, stain lipstick, yellow lace halter bralette and thong set
ruthenium, slave bracelet, female viking, tall, athletic, diamond-shaped face, dark skin, gray hair, red eyes, straight nose, thin lips, round chin, long hair, fine hair, loose curls, perky breasts, cuff earrings, black, stain lipstick, white sheer teddy with lace trim
ruthenium, statement necklace, maven, short, thin, round face, olive skin, silver hair, amber eyes, short nose, full lips, prominent chin, long hair, coarse hair, high ponytail, natural breasts, stud earrings, red, matte lipstick, brown strappy bodysuit
ruthenium, tassel necklace, baroness, short, firm, heart-shaped face, olive skin, dark brown hair, blue eyes with green flecks, narrow nose, full lips, receding chin, shoulder-length hair, thick hair, messy bun, full breasts, huggie earrings, soft pink, velvet lipstick, silver silk bra and panty set with garter belt
ruthenium, tassel necklace, charmer, average height, narrow hips, oval face, tan skin, chestnut hair, brown eyes, narrow nose, pouty lips, round chin, long hair, coarse hair, chignon, augmented breasts, hoop earrings, peach, velvet lipstick, red lace bra and panty set with garter belt
ruthenium, tassel necklace, charmer, short, narrow hips, oval face, olive skin, dark brown hair, blue eyes with green flecks, straight nose, thin lips, prominent chin, shoulder-length hair, curly hair, low chignon, full breasts, threader earrings, plum, matte lipstick, navy blue satin garter belt with suspenders
ruthenium, tassel necklace, superwoman, tall, wide hips, diamond-shaped face, dark skin, light brown hair, gray eyes, wide nose, thin lips, sharp chin, shoulder-length hair, thick hair, rope braid, perky breasts, cuff earrings, plum, sheer lipstick, cream sequin bra and pant set
ruthenium, tennis necklace, enigma, tall, narrow hips, heart-shaped face, fair skin, white hair, yellow eyes, straight nose, pouty lips, receding chin, shoulder-length hair, wavy hair, wavy updo, saggy breasts, threader earrings, black, velvet lipstick, blue strappy bodysuit with cutouts
ruthenium, tennis necklace, seductress, tall, wide hips, oval face, fair skin, platinum blonde hair, gray eyes, [[curved nose]], full lips, receding chin, long hair, straight hair, fishtail crown braid, perky breasts, dangle earrings, green, gloss lipstick, turquoise sheer chemise with cutouts
ruthenium, toe ring, maven, average height, lean, diamond-shaped face, tan skin, honey blonde hair, turquoise eyes, [[curved nose]], thick lips, round chin, shoulder-length hair, thick hair, viking braid, large breasts, stud earrings, peach, metallic lipstick, red satin babydoll
ruthenium, toggle bracelet, visionary, average height, firm, round face, tan skin, strawberry blonde hair, hazel eyes, wide nose, thick lips, sharp chin, long hair, coarse hair, fishtail braid, natural breasts, cuff earrings, black, cream lipstick, purple velvet robe with fur trim
ruthenium, torc necklace, luminary, average height, slim, oval face, dark skin, chestnut hair, blue eyes, narrow nose, full lips, round chin, long hair, curly hair, fluffy afro, saggy breasts, hoop earrings, red, gloss lipstick, silver silk bra and panty set with garter belt
ruthenium, torc necklace, madame, tall, firm, round face, tan skin, platinum blonde hair, hazel eyes, [[curved nose]], thin lips, receding chin, shoulder-length hair, straight hair, fishtail crown braid, soft breasts, threader earrings, golden, cream lipstick, purple velvet slip with lace trim
ruthenium, torc necklace, vixen, average height, athletic, triangular face, fair skin, light brown hair, light blue eyes, narrow nose, thick lips, round chin, shoulder-length hair, curly hair, messy bun, perky breasts, faux gauge earrings, gloss, cream lipstick, pink lace garter slip with matching thong
ruthenium, vintage brooch, temptress, tall, fit, heart-shaped face, tan skin, black hair, pink eyes, wide nose, pouty lips, round chin, shoulder-length hair, fine hair, formal updo, natural breasts, cuff earrings, lavender, stain lipstick, purple velvet bra and panty set with lace trim
ruthenium, watch bracelet, baroness, tall, athletic, oval face, dark skin, platinum blonde hair, green eyes, wide nose, thick lips, sharp chin, shoulder-length hair, fine hair, shoulder-length curls, saggy breasts, huggie earrings, berry, cream lipstick, green sequin slip dress with thigh-high slits
ruthenium, watch bracelet, enigma, short, athletic, square face, tan skin, light brown hair, dark brown eyes, wide nose, full lips, prominent chin, shoulder-length hair, coarse hair, frohawk, small breasts, huggie earrings, shimmer, sheer lipstick, gold mesh bra and panty set with garter belt
ruthenium, watch bracelet, sensation, average height, toned, square face, olive skin, blonde hair, silver eyes, straight nose, full lips, sharp chin, shoulder-length hair, coarse hair, waterfall braid, saggy breasts, drop earrings, coral, sheer lipstick, mint green mesh teddy
ruthenium, watch bracelet, trailblazer, average height, fit, heart-shaped face, fair skin, auburn hair, dark brown eyes, long nose, full lips, round chin, shoulder-length hair, curly hair, double braided crown, full breasts, dangle earrings, green, cream lipstick, blue sheer babydoll with satin trim
ruthenium, watch bracelet, vixen, average height, athletic, oval face, olive skin, strawberry blonde hair, brown eyes with green flecks, narrow nose, pouty lips, round chin, long hair, curly hair, straight bob, saggy breasts, huggie earrings, hot pink, gloss lipstick, purple velvet slip with lace trim
silver, ankle bracelet, empress, tall, in shape, oval face, fair skin, silver hair, teal eyes, wide nose, thin lips, sharp chin, long hair, curly hair, boho braid, round breasts, huggie earrings, black, cream lipstick, orange satin slip
silver, ankle cuff, belle, short, toned, heart-shaped face, olive skin, golden blonde hair, amethyst eyes, straight nose, pouty lips, round chin, shoulder-length hair, curly hair, blunt bangs, perky breasts, hoop earrings, orange, sheer lipstick, black mesh bodysuit with embroidered flowers
silver, ankle cuff, countess, average height, skinny, diamond-shaped face, dark skin, auburn hair, teal eyes, short nose, pouty lips, receding chin, shoulder-length hair, fine hair, long straight hair, asymmetrical breasts, drop earrings, plum, cream lipstick, gold mesh bra and panty set with garter belt
silver, ankle cuff, dame, tall, narrow hips, triangular face, tan skin, golden blonde hair, grey eyes, [[curved nose]], thin lips, prominent chin, shoulder-length hair, thick hair, half up half down, soft breasts, dangle earrings, burgundy, cream lipstick, grey faux leather corset
silver, ankle cuff, enchantress, short, athletic, square face, dark skin, blonde hair, light blue eyes, long nose, thin lips, round chin, shoulder-length hair, thick hair, double braided crown, natural breasts, clip-on earrings, teal, cream lipstick, white satin and lace bra and panty set
silver, anklet, babe, short, thin, diamond-shaped face, olive skin, brunette hair, ruby eyes, [[curved nose]], thick lips, sharp chin, shoulder-length hair, wavy hair, long straight hair, perky breasts, hoop earrings, magenta, cream lipstick, yellow lace garter belt
silver, anklet, chanteuse, short, fit, triangular face, tan skin, light brown hair, amber eyes, long nose, thin lips, round chin, long hair, fine hair, high messy bun, round breasts, hoop earrings, light pink, stain lipstick, blue satin and lace cami and short set
silver, anklet, escort, short, thin, oval face, olive skin, auburn hair, purple eyes, straight nose, thick lips, sharp chin, long hair, thick hair, braided half up, round breasts, faux gauge earrings, rose, satin lipstick, pink floral corset
silver, anklet, miss, average height, athletic, round face, olive skin, platinum blonde hair, blue eyes with green flecks, [[curved nose]], thin lips, sharp chin, shoulder-length hair, curly hair, sleek straight hair, natural breasts, huggie earrings, plum, metallic lipstick, cream sequin bra and pant set
silver, bangle bracelet, goddess, short, narrow hips, oval face, fair skin, gray hair, dark brown eyes, [[curved nose]], thin lips, prominent chin, long hair, straight hair, wavy bob, natural breasts, threader earrings, lavender, velvet lipstick, purple mesh babydoll with matching g-string
silver, beaded bracelet, baroness, average height, fit, diamond-shaped face, dark skin, silver hair, yellow eyes, wide nose, thin lips, round chin, shoulder-length hair, wavy hair, fishtail braid, perky breasts, threader earrings, green, metallic lipstick, red satin babydoll
silver, beaded bracelet, phenom, average height, athletic, round face, olive skin, red hair, amethyst eyes, long nose, full lips, receding chin, shoulder-length hair, thick hair, afro, firm breasts, hoop earrings, beige, sheer lipstick, red mesh chemise with strappy back detail
silver, beaded bracelet, seductress, tall, fit, round face, fair skin, brunette hair, grey eyes, narrow nose, full lips, round chin, shoulder-length hair, thick hair, tapered afro, small breasts, huggie earrings, cherry, cream lipstick, ivory lace teddy
silver, beaded necklace, baroness, average height, skinny, square face, dark skin, black hair, brown eyes, long nose, thick lips, prominent chin, shoulder-length hair, fine hair, side bangs, asymmetrical breasts, cuff earrings, plum, gloss lipstick, white lace bralette and boyshorts set
silver, beaded necklace, dame, short, thin, square face, olive skin, auburn hair, aquamarine eyes, wide nose, thick lips, receding chin, long hair, wavy hair, high ponytail, augmented breasts, huggie earrings, red, satin lipstick, cream sequin bra and pant set
silver, bib necklace, lady, short, wide hips, diamond-shaped face, olive skin, strawberry blonde hair, dark brown eyes, short nose, thin lips, round chin, long hair, coarse hair, herringbone braid, asymmetrical breasts, faux gauge earrings, magenta, velvet lipstick, white satin and lace bra and panty set
silver, bracelet, artist, short, skinny, diamond-shaped face, fair skin, gray hair, jade eyes, wide nose, thin lips, receding chin, shoulder-length hair, thick hair, boho braid, natural breasts, huggie earrings, light pink, gloss lipstick, purple mesh babydoll with matching g-string
silver, bracelet, enchantress, average height, wide hips, triangular face, tan skin, chestnut hair, dark brown eyes, wide nose, thick lips, sharp chin, shoulder-length hair, straight hair, chignon, soft breasts, faux gauge earrings, lavender, sheer lipstick, grey faux leather corset
silver, bracelet, sensation, average height, thin, triangular face, fair skin, gray hair, black eyes, wide nose, thin lips, round chin, long hair, fine hair, angled bob, natural breasts, clip-on earrings, brown, gloss lipstick, green silk bralette and panty set
silver, brooch, artist, short, wide hips, triangular face, fair skin, light brown hair, coral eyes, narrow nose, thick lips, receding chin, shoulder-length hair, thick hair, ballerina bun, large breasts, stud earrings, terracotta, sheer lipstick, red lace bra and panty set with garter belt
silver, chain bracelet, luminary, average height, skinny, heart-shaped face, tan skin, golden blonde hair, light blue eyes, wide nose, pouty lips, receding chin, long hair, wavy hair, layered bob, large breasts, threader earrings, violet, stain lipstick, blue strappy bodysuit with cutouts
silver, chain necklace, mistress, short, skinny, round face, olive skin, golden blonde hair, jade eyes, straight nose, pouty lips, prominent chin, long hair, coarse hair, swept bangs, augmented breasts, drop earrings, rust, sheer lipstick, silver sequin bralette
silver, charm bracelet, madam, short, narrow hips, oval face, olive skin, auburn hair, amber eyes, narrow nose, thick lips, receding chin, shoulder-length hair, straight hair, long curled updo, small breasts, drop earrings, fuchsia, metallic lipstick, red mesh chemise with strappy back detail
silver, charm bracelet, trailblazer, average height, thin, square face, fair skin, platinum blonde hair, green eyes, wide nose, pouty lips, prominent chin, shoulder-length hair, fine hair, afro, round breasts, drop earrings, hot pink, matte lipstick, plum satin and lace bustier
silver, charm bracelet, vixen, average height, wide hips, square face, fair skin, dark brown hair, light blue eyes, [[curved nose]], pouty lips, sharp chin, shoulder-length hair, coarse hair, messy beach waves, large breasts, hoop earrings, burgundy, matte lipstick, blue strappy bodysuit with cutouts
silver, choker, baroness, tall, toned, heart-shaped face, dark skin, auburn hair, yellow eyes, wide nose, thin lips, receding chin, shoulder-length hair, coarse hair, braided half up, soft breasts, huggie earrings, shimmer, matte lipstick, grey faux leather corset
silver, choker, escort, average height, skinny, round face, dark skin, red hair, black eyes, long nose, thick lips, sharp chin, long hair, fine hair, side bangs, asymmetrical breasts, hoop earrings, shimmer, matte lipstick, pink lace garter slip with matching thong
silver, choker, temptress, tall, in shape, heart-shaped face, tan skin, blonde hair, yellow eyes, short nose, pouty lips, prominent chin, long hair, coarse hair, sleek bun, firm breasts, stud earrings, rose, cream lipstick, red satin kimono with lace sleeve detail
silver, choker, trailblazer, tall, narrow hips, triangular face, olive skin, red hair, red eyes, short nose, thin lips, sharp chin, shoulder-length hair, straight hair, frohawk, natural breasts, drop earrings, rose, gloss lipstick, green satin robe with lace trim
